"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1989"	"1989 Spanish F1 GP"	"Rial"	"0"	"DNQ"	"No Time"
"1989"	"1989 Portuguese F1 GP"	"Rial"	"0"	"DNQ"	"No Time"
"1989"	"1989 Italian F1 GP"	"Rial"	"0"	"DNQ"	"No Time"
"1989"	"1989 Belgian F1 GP"	"Rial"	"0"	"DNQ"	"No Time"
"1989"	"1989 Hungarian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 German F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 British F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 French F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Canadian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 USA F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Mexican F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Monaco F1 GP"	"Coloni"	"18"	"DNF"	"Gearbox"
"1989"	"1989 San Marino F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Brazilian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1988"	"1988 Australian F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
