"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"Alpine"	"11"	"8"	""
"2021"	"2021 Saudi Arabian F1 GP"	"Alpine"	"13"	"13"	""
"2021"	"2021 Qatar F1 GP"	"Alpine"	"3"	"3"	""
"2021"	"2021 Brazilian F1 GP"	"Alpine"	"12"	"9"	""
"2021"	"2021 Mexico F1 GP"	"Alpine"	"12"	"9"	""
"2021"	"2021 USA F1 GP"	"Alpine"	"19"	"DNF"	"Rear wing"
"2021"	"2021 Turkish F1 GP"	"Alpine"	"5"	"16"	""
"2021"	"2021 Russian F1 GP"	"Alpine"	"6"	"6"	""
"2021"	"2021 Italian F1 GP"	"Alpine"	"10"	"8"	""
"2021"	"2021 Dutch F1 GP"	"Alpine"	"9"	"6"	""
"2021"	"2021 Belgian F1 GP"	"Alpine"	"11"	"11"	""
"2021"	"2021 Hungarian F1 GP"	"Alpine"	"9"	"4"	""
"2021"	"2021 British F1 GP"	"Alpine"	"7"	"7"	""
"2021"	"2021 Austrian F1 GP"	"Alpine"	"14"	"10"	""
"2021"	"2021 Styrian F1 GP"	"Alpine"	"8"	"9"	""
"2021"	"2021 French F1 GP"	"Alpine"	"9"	"8"	""
"2021"	"2021 Azerbaijan F1 GP"	"Alpine"	"8"	"6"	""
"2021"	"2021 Monaco F1 GP"	"Alpine"	"16"	"13"	""
"2021"	"2021 Spanish F1 GP"	"Alpine"	"10"	"17"	""
"2021"	"2021 Portuguese F1 GP"	"Alpine"	"13"	"8"	""
"2021"	"2021 E. Romagna F1 GP"	"Alpine"	"15"	"10"	""
"2021"	"2021 Bahrain F1 GP"	"Alpine"	"9"	"DNF"	"Rear brakes"
"2018"	"2018 Abu Dhabi F1 GP"	"McLaren"	"15"	"11"	""
"2018"	"2018 Brazilian F1 GP"	"McLaren"	"17"	"17"	""
"2018"	"2018 Mexican F1 GP"	"McLaren"	"12"	"DNF"	"Water pressure"
"2018"	"2018 USA F1 GP"	"McLaren"	"13"	"DNF"	"Collision damage"
"2018"	"2018 Japanese F1 GP"	"McLaren"	"18"	"14"	""
"2018"	"2018 Russian F1 GP"	"McLaren"	"16"	"14"	""
"2018"	"2018 Singapore F1 GP"	"McLaren"	"11"	"7"	""
"2018"	"2018 Italian F1 GP"	"McLaren"	"13"	"DNF"	"Power unit"
"2018"	"2018 Belgian F1 GP"	"McLaren"	"14"	"DNF"	"Collision damage"
"2018"	"2018 Hungarian F1 GP"	"McLaren"	"11"	"8"	""
"2018"	"2018 German F1 GP"	"McLaren"	"11"	"16"	"Gearbox"
"2018"	"2018 British F1 GP"	"McLaren"	"13"	"8"	""
"2018"	"2018 Austrian F1 GP"	"McLaren"	"20"	"8"	""
"2018"	"2018 French F1 GP"	"McLaren"	"16"	"16"	"Left rear suspension"
"2018"	"2018 Canadian F1 GP"	"McLaren"	"14"	"DNF"	"Air cooler pipe"
"2018"	"2018 Monaco F1 GP"	"McLaren"	"7"	"DNF"	"Power unit"
"2018"	"2018 Spanish F1 GP"	"McLaren"	"8"	"8"	""
"2018"	"2018 Azerbijan F1 GP"	"McLaren"	"12"	"7"	""
"2018"	"2018 Chinese F1 GP"	"McLaren"	"13"	"7"	""
"2018"	"2018 Bahrain F1 GP"	"McLaren"	"13"	"7"	""
"2018"	"2018 Australian F1 GP"	"McLaren"	"10"	"5"	""
"2017"	"2017 Abu Dhabi F1 GP"	"McLaren"	"11"	"9"	""
"2017"	"2017 Brazilian F1 GP"	"McLaren"	"6"	"8"	""
"2017"	"2017 Mexican F1 GP"	"McLaren"	"18"	"10"	""
"2017"	"2017 USA F1 GP"	"McLaren"	"8"	"DNF"	"Power unit"
"2017"	"2017 Japanese F1 GP"	"McLaren"	"20"	"11"	""
"2017"	"2017 Malaysian F1 GP"	"McLaren"	"10"	"11"	""
"2017"	"2017 Singapore F1 GP"	"McLaren"	"8"	"DNF"	"Collision damage"
"2017"	"2017 Italian F1 GP"	"McLaren"	"19"	"17"	"Gearbox"
"2017"	"2017 Belgian F1 GP"	"McLaren"	"10"	"DNF"	"Power unit"
"2017"	"2017 Hungarian F1 GP"	"McLaren"	"7"	"6"	""
"2017"	"2017 British F1 GP"	"McLaren"	"20"	"DNF"	"Technical"
"2017"	"2017 Austrian F1 GP"	"McLaren"	"12"	"DNF"	"Collision damage"
"2017"	"2017 Azerbaijan F1 GP"	"McLaren"	"19"	"9"	""
"2017"	"2017 Canadian F1 GP"	"McLaren"	"12"	"16"	"Power Unit"
"2017"	"2017 Spanish F1 GP"	"McLaren"	"7"	"12"	""
"2017"	"2017 Russian F1 GP"	"McLaren"	"15"	"DNS"	"Power Unit"
"2017"	"2017 Bahrain F1 GP"	"McLaren"	"15"	"14"	"Power unit"
"2017"	"2017 Chinese F1 GP"	"McLaren"	"13"	"DNF"	"Drive shaft"
"2017"	"2017 Australian F1 GP"	"McLaren"	"12"	"DNF"	"Suspension"
"2016"	"2016 Abu Dhabi F1 GP"	"McLaren"	"9"	"10"	""
"2016"	"2016 Brazilian F1 GP"	"McLaren"	"10"	"10"	""
"2016"	"2016 Mexican F1 GP"	"McLaren"	"11"	"13"	""
"2016"	"2016 USA F1 GP"	"McLaren"	"12"	"5"	""
"2016"	"2016 Japanese F1 GP"	"McLaren"	"15"	"16"	""
"2016"	"2016 Malaysian F1 GP"	"McLaren"	"22"	"7"	""
"2016"	"2016 Singapore F1 GP"	"McLaren"	"9"	"7"	""
"2016"	"2016 Italian F1 GP"	"McLaren"	"12"	"14"	""
"2016"	"2016 Belgian F1 GP"	"McLaren"	"8"	"7"	""
"2016"	"2016 German F1 GP"	"McLaren"	"14"	"12"	""
"2016"	"2016 Hungarian F1 GP"	"McLaren"	"2"	"7"	""
"2016"	"2016 British F1 GP"	"McLaren"	"9"	"13"	""
"2016"	"2016 Austrian F1 GP"	"McLaren"	"14"	"18"	"Battery"
"2016"	"2016 Azerbaijan F1 GP"	"McLaren"	"13"	"DNF"	"Gearbox"
"2016"	"2016 Canadian F1 GP"	"McLaren"	"10"	"11"	""
